OrderID,CustomerID,SKU,Description,Cost,Year_Purchase
201901,1001,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,139,2019
201902,1002,BAS-24-1 C,Basic Switch 10/100/1000 BaseT 24 port,51,2021
201903,1003,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,190,2021
201904,1004,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,247,2021
201905,1005,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,254,2019
201906,1006,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,74,2020
201907,1007,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,87,2018
201908,1008,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,129,2019
201909,1009,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,167,2020
201910,1010,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,159,2021
201911,1011,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,250,2018
201912,1012,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,174,2018
201913,1013,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,35,2021
201914,1014,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,285,2018
201915,1015,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,120,2020
201916,1016,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,24,2020
201917,1017,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,60,2018
201918,1018,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,197,2018
201919,1019,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,103,2018
201920,1020,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,41,2021
201921,1021,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,146,2019
201922,1022,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,13,2021
201923,1023,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,209,2019
201924,1024,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,282,2018
201925,1025,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,94,2018
201926,1026,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,92,2019
201927,1027,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,196,2019
201928,1028,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,254,2021
201929,1029,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,191,2021
201930,1030,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,115,2019
201931,1031,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,190,2020
201932,1032,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,59,2021
201933,1033,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,230,2018
201934,1034,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,139,2021
201935,1035,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,92,2020
201936,1036,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,161,2020
201937,1037,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,69,2021
201938,1038,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,75,2020
201939,1039,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,98,2018
201940,1040,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,108,2021
201941,1041,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,140,2018
201942,1042,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,79,2021
201943,1043,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,119,2021
201944,1044,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,188,2021
201945,1045,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,60,2019
201946,1046,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,132,2019
201947,1047,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,217,2019
201948,1048,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,236,2018
201949,1049,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,116,2019
201950,1050,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,15,2020
201951,1051,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,229,2020
201952,1052,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,40,2020
201953,1053,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,99,2018
201954,1054,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,161,2018
201955,1055,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,192,2018
201956,1056,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,95,2019
201957,1057,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,124,2020
201958,1058,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,253,2018
201959,1059,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,268,2020
201960,1060,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,16,2020
201961,1061,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,230,2018
201962,1062,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,222,2018
201963,1063,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,261,2021
201964,1064,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,108,2019
201965,1065,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,267,2019
201966,1066,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,234,2018
201967,1067,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,69,2021
201968,1068,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,98,2020
201969,1069,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,35,2020
201970,1070,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,264,2021
201971,1071,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,55,2020
201972,1072,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,231,2020
201973,1073,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,174,2021
201974,1074,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,78,2020
201975,1075,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,224,2018
201976,1076,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,226,2020
201977,1077,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,188,2020
201978,1078,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,87,2021
201979,1079,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,172,2018
201980,1080,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,160,2020
201981,1081,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,25,2019
201982,1082,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,23,2021
201983,1083,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,5,2018
201984,1084,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,78,2018
201985,1085,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,232,2021
201986,1086,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,227,2019
201987,1087,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,57,2020
201988,1088,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,152,2018
201989,1089,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,87,2019
201990,1090,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,97,2020
201991,1091,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,63,2018
201992,1092,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,224,2020
201993,1093,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,219,2019
201994,1094,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,33,2020
201995,1095,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,8,2018
201996,1096,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,90,2018
201997,1097,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,49,2020
201998,1098,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,238,2021
201999,1099,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,14,2019
202000,1100,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,124,2020
202001,1101,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,198,2019
202002,1102,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,231,2020
202003,1103,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,269,2021
202004,1104,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,192,2021
202005,1105,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,126,2019
202006,1106,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,137,2019
202007,1107,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,231,2019
202008,1108,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,253,2018
202009,1109,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,262,2018
202010,1110,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,11,2020
202011,1111,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,162,2018
202012,1112,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,50,2021
202013,1113,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,201,2018
202014,1114,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,285,2018
202015,1115,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,79,2019
202016,1116,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,230,2021
202017,1117,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,226,2021
202018,1118,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,122,2019
202019,1119,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,224,2019
202020,1120,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,11,2021
202021,1121,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,117,2021
202022,1122,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,148,2019
202023,1123,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,20,2020
